"title,price,price_numeric,location,details,link,property_type"
"Apartment for Sale in Provident Adora De Goa, Dabolim Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/provident-adora-de-goa-dabolim-goa-pdpid-4d4235313134313633,N/A"
"3 BHK Villa for Sale in Dona Paula Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Apartment for Sale in Shivneri Apartments, Canconna Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/shivneri-apartments-canconna-goa-pdpid-4d4235343135373231,N/A"
"1 BHK Apartment for Sale in Saipem Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Saipem Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Apartment for Sale in Candolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Chamunda Residency, Caranzalem Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/chamunda-residency-caranzalem-goa-pdpid-4d4235303939313335,N/A"
"4 BHK Villa for Sale in Siolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"5 BHK Villa for Sale in Reis Magos Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Villa for Sale in Benaulim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Apartment for Sale in Prabhus Emerald, Dabolim Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/prabhus-emerald-dabolim-goa-pdpid-4d4235323834353935,N/A"
"1 BHK Apartment for Sale in Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Plot/Land for Sale in Raia Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Vidhyanagar Colony Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Raj Exotic Palms, Anjuna Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/raj-exotic-palms-anjuna-goa-pdpid-4d4235313131393537,N/A"
"1 BHK Apartment for Sale in Acron Candolim Manolita, Candolim Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/acron-candolim-manolita-candolim-goa-pdpid-4d4235303832373935,N/A"
"3 BHK Builder Floor for Sale in Davorlim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Apartment for Sale in Salvador do Mundo Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Reis Magos Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Siolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Villa for Sale in Assagao Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Assagao Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Moira Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Candolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Apartment for Sale in Caranzalem Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Porvorim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"10 BHK Villa for Sale in Kadamba Plateau Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Apartment for Sale in Siolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"3 BHK Apartment for Sale in Provident Adora De Goa, Dabolim Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/provident-adora-de-goa-dabolim-goa-pdpid-4d4235313134313633,N/A"
"4 BHK Villa for Sale in Kadamba Plateau Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Assagao Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Apartment for Sale in Vasco Da Gama Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Plot/Land for Sale in Sancoale Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Campal Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"5 BHK Villa for Sale in Aldona Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"4 BHK Villa for Sale in Candolim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Plot/Land for Sale in Corlim Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Nerul Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"Plot/Land for Sale in Ponda Goa,Call for Price,0.0,N/A,N/A,N/A,N/A"
"2 BHK Apartment for Sale in Karle Riverville , Margao Goa,Call for Price,0.0,N/A,N/A,https://www.magicbricks.com/karle-riverville-margao-goa-pdpid-4d4235313235373135,N/A"
